year,shadow,details,groundhog_id,slug,shortname,name,country,region,city,coordinates,shadow_binary,lat,lon,groundhog_id_wx,shortname_wx,name_wx,country_wx,region_wx,city_wx,window_start,window_end,baseline_start,baseline_end,alpha,n_days,mean_anom,p_value_two_sided,p_value_one_sided,outcome,outcome_binary,prediction_early_spring,correct
1887,1.0,First Official trek to Gobbler’s Knob. Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1888,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1890,0.0,No Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",0.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,1.0,
1898,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1900,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1901,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1902,0.0,Probably No Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",0.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,1.0,
1903,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1904,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1905,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1906,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1907,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1908,1.0,Saw Shadow; First front page coverage,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1909,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1910,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1911,1.0,Saw Shadow; “55 couples at Groundhog Day Dance.”,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1912,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1913,1.0,Saw Shadow at 8:80 am. First newspaper photo of Groundhog by John Frampton. A new dance “The Groundhog Roll” was demonstrated by Joe Winslow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1914,1.0,"Saw Shadow at 9:34 AM, Groundhog demonstrated “The Groundhog Flop”",1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1915,1.0,Saw Shadow at 11:45 AM,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1916,1.0,Saw Shadow at 9:07; First films of the event. ,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1917,1.0,Saw Shadow at 9:07.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1918,1.0,Saw Shadow; Temperature 18 below zero.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1919,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1920,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1921,1.0,Saw Shadow at 7:17 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1922,1.0,Saw Shadow 7:11 AM; Groundhog Holiday Dance.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1923,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1924,1.0,Saw Shadow 7:13 AM; First appearance of logo with groundhog with umbrella and newspaper.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1925,1.0,Saw Shadow 8:13 AM; CJ Margiotti gave groundhog tradition to the Pittsburgh Travel Club.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1926,1.0,Saw Shadow at 9:17 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1926,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1927,1.0,Saw Shadow at 8:35 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1928,1.0,Saw Shadow at 10 AM; Program with Punx’y Rotary Club was on KDKA Radio.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1929,1.0,Predicted six more weeks of winter before sunrise.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1929,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1930,1.0,Saw Shadow at 7:11 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1931,1.0,Saw Shadow at 12:27 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1931,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1932,1.0,Saw Shadow at 9:11 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1932,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1933,1.0,Saw Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1933,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1934,0.0,No Shadow.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",0.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,1.0,
1934,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1935,1.0,Saw Shadow at 9:11 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1935,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1936,1.0,Saw Shadow at 10:27 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1936,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1937,1.0,Saw Shadow at 9:09 AM; Unfortunate meeting with a skunk.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1937,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1938,1.0,Saw Shadow at 9 AM; Blackest shadow in history.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1938,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1939,1.0,Saw Shadow at 9:10 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1939,0.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",0.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,1.0,
1940,1.0,"Saw Shadow at 9 AM; Pictured with first Groundhog Day Queen, Miss Margaret Hunam.",1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1940,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1941,1.0,Saw Shadow at 4:25 PM; Six Groundhog Girls.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1941,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1942,1.0,"Partial Shadow at 7:40 AM; “War clouds have blacked out parts of the shadow.” (“The Spirit,” Feb. 2, 1942).",1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1942,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1943,0.0,Groundhog didn’t make an appearance; relied on Quarryville’s prediction - NO Shadow,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",0.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,1.0,
1944,1.0,Saw Shadow at 9:10 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1944,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1945,1.0,Saw Shadow at 9 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1945,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1946,1.0,Saw Shadow at 7:52 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1946,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1947,1.0,Saw Shadow at 7:37 AM; First newspaper photo of Groundhog Club members at Gobbler’s Knob.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1947,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1948,1.0,Saw Shadow at 8:46 AM; Dr. Frank Lorenzo was interviewed on KDKA Radio’s “Brunch With Bill” program.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
1948,1.0,,2,octoraro-orphie,Orphie,Octoraro Orphie,USA,Pennsylvania,Quarryville,"39.8255413,-76.0919567",1.0,39.8255413,-76.0919567,,,,,,,,,,,,,,,,,,0.0,
1949,1.0,Saw Shadow at 7:32 AM.,1,punxsutawney-phil,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,"40.9311988,-78.9622483",1.0,40.9311988,-78.9622483,,,,,,,,,,,,,,,,,,0.0,
