slug,groundhog_id,shortname,name,country,region,city,year,window_start,window_end,baseline_start,baseline_end,alpha,n_days,mean_anom,p_value_two_sided,p_value_one_sided,outcome,outcome_binary
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1980,02-03,03-16,1991,2020,0.05,43,-2.9177596899224802,0.00023534719560183934,0.9998823264021991,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1981,02-03,03-16,1991,2020,0.05,42,0.340686507936508,0.6965607912683034,0.3482803956341517,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1982,02-03,03-16,1991,2020,0.05,42,-0.8594325396825397,0.18155617723064957,0.9092219113846752,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1983,02-03,03-16,1991,2020,0.05,42,2.7039007936507935,0.00033699732315467827,0.00016849866157733913,early_spring,1.0
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1984,02-03,03-16,1991,2020,0.05,43,0.042589147286821546,0.9686457982786428,0.4843228991393214,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1985,02-03,03-16,1991,2020,0.05,42,-0.058599206349206234,0.9399075761319107,0.5300462119340447,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1986,02-03,03-16,1991,2020,0.05,42,-0.45133730158730173,0.5751274430528177,0.7124362784735911,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1987,02-03,03-16,1991,2020,0.05,42,-0.5012182539682539,0.390364391465602,0.804817804267199,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1988,02-03,03-16,1991,2020,0.05,43,-1.4740387596899225,0.025175681151740875,0.9874121594241295,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1989,02-03,03-16,1991,2020,0.05,42,-1.7030039682539684,0.014239835188686989,0.9928800824056565,uncertain,
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1990,02-03,03-16,1991,2020,0.05,42,3.8331865079365084,0.0008709647005727331,0.00043548235028636654,early_spring,1.0
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1991,02-03,03-16,1991,2020,0.05,42,1.674376984126984,0.029329997792456687,0.014664998896228344,early_spring,1.0
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1992,02-03,03-16,1991,2020,0.05,43,1.6754961240310076,0.08941923488608267,0.04470961744304133,early_spring,1.0
punxsutawney-phil,1,Phil,Punxsutawney Phil,USA,Pennsylvania,Punxsutawney,1993,02-03,03-16,1991,2020,0.05,42,-2.419194444444444,0.003048674006535648,0.9984756629967322,uncertain,
